vid,idx,kind,claim_id,L_o,KL_rev,top1_agree,p_top1_under_q
0,0,orig,-1,0.029555819928646088,0.03532177954912186,True,0.7073360681533813
9,1,orig,-1,0.0797605961561203,0.07375582307577133,True,0.2674005329608917
18,2,orig,-1,0.03802664205431938,0.04532138630747795,True,0.6424689292907715
27,3,orig,-1,0.07171493023633957,0.08301971107721329,True,0.3916696310043335
36,4,orig,-1,0.006461835466325283,0.008385566994547844,True,0.9345207810401917
45,5,orig,-1,0.026932891458272934,0.027927782386541367,True,0.3170262575149536
54,6,orig,-1,0.0026207990013062954,0.002906039822846651,True,0.8374119400978088
63,7,orig,-1,0.09416336566209793,0.11294351518154144,True,0.5169448852539062
72,8,orig,-1,0.0010141088860109448,0.0009466345072723925,True,0.9798310399055481
81,9,orig,-1,0.012174701318144798,0.01226263027638197,True,0.1405661702156067
90,10,orig,-1,0.009347768500447273,0.01035090908408165,True,0.4496382772922516
99,11,orig,-1,0.17236360907554626,0.18794593214988708,False,0.1870390921831131
108,12,orig,-1,0.01787150651216507,0.013186498545110226,True,0.927335262298584
117,13,orig,-1,0.014133404940366745,0.012471720576286316,True,0.8977359533309937
126,14,orig,-1,0.031878482550382614,0.029544340446591377,True,0.28091326355934143
135,15,orig,-1,0.001071720733307302,0.001090128323994577,True,0.635934591293335
1,0,paraphrase,-1,0.023935385048389435,0.029129106551408768,True,0.696419894695282
10,1,paraphrase,-1,0.07750137895345688,0.07319264858961105,True,0.26529383659362793
19,2,paraphrase,-1,0.03275647014379501,0.04131992161273956,True,0.6580212116241455
28,3,paraphrase,-1,0.06480779498815536,0.07309219986200333,True,0.3969407379627228
37,4,paraphrase,-1,0.0035835718736052513,0.004312293604016304,True,0.9398393034934998
46,5,paraphrase,-1,0.0354415699839592,0.03595055639743805,True,0.32492995262145996
55,6,paraphrase,-1,0.005263417027890682,0.00541065214201808,True,0.831727921962738
64,7,paraphrase,-1,0.15318050980567932,0.1877666562795639,True,0.49187228083610535
73,8,paraphrase,-1,0.001697218045592308,0.001772276358678937,True,0.9774782657623291
82,9,paraphrase,-1,0.012321523390710354,0.012435631826519966,True,0.13777272403240204
91,10,paraphrase,-1,0.012072930112481117,0.0127375777810812,True,0.44458940625190735
100,11,paraphrase,-1,0.18203839659690857,0.18202917277812958,False,0.17010411620140076
109,12,paraphrase,-1,0.018748700618743896,0.013913346454501152,True,0.9293767809867859
118,13,paraphrase,-1,0.014148246496915817,0.012487657368183136,True,0.8981068730354309
127,14,paraphrase,-1,0.02809317782521248,0.02728082425892353,True,0.27466318011283875
136,15,paraphrase,-1,0.0017165114404633641,0.0017566889291629195,True,0.6416482329368591
2,0,translate,-1,0.042456578463315964,0.04998557269573212,True,0.7125682234764099
11,1,translate,-1,0.07826488465070724,0.07142287492752075,True,0.2805022597312927
20,2,translate,-1,0.04469793662428856,0.05475487932562828,True,0.6445885896682739
29,3,translate,-1,0.06258904188871384,0.07146518677473068,True,0.4053097069263458
38,4,translate,-1,0.003598904935643077,0.004321149084717035,True,0.9397180080413818
47,5,translate,-1,0.02478114888072014,0.025976266711950302,True,0.29575997591018677
56,6,translate,-1,0.0050736782141029835,0.005622943863272667,True,0.8248040676116943
65,7,translate,-1,0.0993679016828537,0.11937417834997177,True,0.5276154279708862
74,8,translate,-1,0.006111980881541967,0.009440288878977299,True,0.9780003428459167
83,9,translate,-1,0.0260385200381279,0.027451351284980774,True,0.13596101105213165
92,10,translate,-1,0.007253754884004593,0.007731882389634848,True,0.4686150550842285
101,11,translate,-1,0.1525789052248001,0.1549886167049408,False,0.18462786078453064
110,12,translate,-1,0.022075582295656204,0.016002973541617393,True,0.9340580105781555
119,13,translate,-1,0.014122292399406433,0.012470625340938568,True,0.897948682308197
128,14,translate,-1,0.029085030779242516,0.02703559771180153,True,0.2767849564552307
137,15,translate,-1,0.001470662304200232,0.0014322525821626186,True,0.6423846483230591
3,0,polarity,-1,0.03458535298705101,0.0426446869969368,True,0.69798344373703
12,1,polarity,-1,0.07479411363601685,0.06944187730550766,True,0.2722109258174896
21,2,polarity,-1,0.03369086608290672,0.04057983681559563,True,0.6593834161758423
30,3,polarity,-1,0.05620841681957245,0.06225859373807907,True,0.39892569184303284
39,4,polarity,-1,0.006334430538117886,0.008276291191577911,True,0.9345446228981018
48,5,polarity,-1,0.036152105778455734,0.03643802925944328,True,0.32164281606674194
57,6,polarity,-1,0.003123591421172023,0.0035761066246777773,True,0.8360534906387329
66,7,polarity,-1,0.08334062993526459,0.09826056659221649,True,0.5441817045211792
75,8,polarity,-1,0.0011127874022349715,0.0010309988865628839,True,0.9799688458442688
84,9,polarity,-1,0.011106779798865318,0.010921617969870567,True,0.14226968586444855
93,10,polarity,-1,0.0047570387832820415,0.005291077308356762,True,0.48465603590011597
102,11,polarity,-1,0.1463538259267807,0.16338177025318146,True,0.20441874861717224
111,12,polarity,-1,0.019316043704748154,0.014182193204760551,True,0.9311683773994446
120,13,polarity,-1,0.02131611853837967,0.018182210624217987,True,0.9078935980796814
129,14,polarity,-1,0.0314551405608654,0.029128598049283028,True,0.28492870926856995
138,15,polarity,-1,0.003073502564802766,0.0032404488883912563,True,0.6178655028343201
4,0,vocab,-1,0.041193462908267975,0.05482818931341171,True,0.6501999497413635
13,1,vocab,-1,0.06671566516160965,0.06694544851779938,True,0.2857220768928528
22,2,vocab,-1,0.028121687471866608,0.03234277665615082,True,0.706645131111145
31,3,vocab,-1,0.05637142434716225,0.06339741498231888,True,0.4070422351360321
40,4,vocab,-1,0.0024961347226053476,0.002888132119551301,True,0.9372740983963013
49,5,vocab,-1,0.02856835164129734,0.030165323987603188,True,0.3137671649456024
58,6,vocab,-1,0.00828478578478098,0.010077684186398983,True,0.8138157725334167
67,7,vocab,-1,0.20992304384708405,0.2521309554576874,True,0.4605429172515869
76,8,vocab,-1,0.011461544781923294,0.011364251375198364,True,0.9809542894363403
85,9,vocab,-1,0.015813101083040237,0.015772733837366104,True,0.15057316422462463
94,10,vocab,-1,0.007307569030672312,0.008672851137816906,True,0.5029587149620056
103,11,vocab,-1,0.09027929604053497,0.10408006608486176,True,0.2535555064678192
112,12,vocab,-1,0.02208377793431282,0.018034949898719788,True,0.9269059300422668
121,13,vocab,-1,0.0040112752467393875,0.0037833135575056076,True,0.8739921450614929
130,14,vocab,-1,0.025212038308382034,0.02696903795003891,True,0.28723764419555664
139,15,vocab,-1,0.0028561141807585955,0.0030076950788497925,True,0.6207736730575562
5,0,cat,-1,5.973324298858643,17.279687881469727,False,0.0007134507759474218
14,1,cat,-1,5.8438262939453125,11.55439567565918,False,0.007445080671459436
23,2,cat,-1,4.447850227355957,7.411464214324951,False,0.002364063635468483
32,3,cat,-1,9.190564155578613,16.443222045898438,False,8.607549534644932e-05
41,4,cat,-1,5.724484920501709,11.158803939819336,False,0.002710299799218774
50,5,cat,-1,1.9694342613220215,5.736370086669922,True,0.19349093735218048
59,6,cat,-1,3.757796287536621,9.648686408996582,False,0.014167246408760548
68,7,cat,-1,0.1769508719444275,0.21907003223896027,True,0.5601123571395874
77,8,cat,-1,1.9681435823440552,5.298430442810059,False,0.130986288189888
86,9,cat,-1,3.375340461730957,6.123842239379883,False,0.011574018746614456
95,10,cat,-1,0.06890958547592163,0.2294488251209259,True,0.48207709193229675
104,11,cat,-1,5.242650985717773,7.960831165313721,False,0.0001457140751881525
113,12,cat,-1,5.805708408355713,11.235939025878906,False,0.0019756220281124115
122,13,cat,-1,0.5971980094909668,2.961106538772583,True,0.6842784285545349
131,14,cat,-1,5.556842803955078,15.086153030395508,False,0.000697670504450798
140,15,cat,-1,1.648005485534668,5.367771625518799,False,0.15229296684265137
6,0,shuffle,-1,0.019226880744099617,0.022852450609207153,True,0.7070412039756775
15,1,shuffle,-1,0.08947940915822983,0.07801195979118347,True,0.2728785276412964
24,2,shuffle,-1,0.034560732543468475,0.04285570606589317,True,0.6455831527709961
33,3,shuffle,-1,0.05754031240940094,0.06518330425024033,True,0.4037851095199585
42,4,shuffle,-1,0.003735867328941822,0.004400049336254597,True,0.9402134418487549
51,5,shuffle,-1,0.02886851690709591,0.030116993933916092,True,0.3030730187892914
60,6,shuffle,-1,0.002683045109733939,0.003052561776712537,True,0.8348609209060669
69,7,shuffle,-1,0.07845132797956467,0.09274399280548096,True,0.550653338432312
78,8,shuffle,-1,0.0012066714698448777,0.0011674375273287296,True,0.9795212149620056
87,9,shuffle,-1,0.012048834934830666,0.011622142046689987,True,0.14702555537223816
96,10,shuffle,-1,0.008707568049430847,0.009726165793836117,True,0.4647218883037567
105,11,shuffle,-1,0.16726839542388916,0.18409638106822968,False,0.18770469725131989
114,12,shuffle,-1,0.01882605068385601,0.013985522091388702,True,0.9313051104545593
123,13,shuffle,-1,0.014140117913484573,0.012477010488510132,True,0.8978580832481384
132,14,shuffle,-1,0.03600794076919556,0.03548280522227287,True,0.2628895044326782
141,15,shuffle,-1,0.0028515998274087906,0.002992897294461727,True,0.6200282573699951
7,0,unrelated,32,9.510622024536133,8.737482070922852,False,3.186747198924422e-05
16,1,unrelated,90,9.759678840637207,6.971777439117432,False,1.9229444660595618e-05
25,2,unrelated,188,9.06311321258545,6.369453430175781,False,2.5570945581421256e-05
34,3,unrelated,254,6.052724838256836,7.690669536590576,False,0.003318025264889002
43,4,unrelated,81,13.006409645080566,8.25217056274414,False,1.6633675841148943e-06
52,5,unrelated,55,5.903712272644043,9.249421119689941,False,0.0006807142635807395
61,6,unrelated,17,7.208739757537842,3.750699996948242,False,0.0001797301520127803
70,7,unrelated,216,0.3567133843898773,0.43605825304985046,True,0.36631646752357483
79,8,unrelated,205,10.501493453979492,11.639638900756836,False,2.2940630515222438e-05
88,9,unrelated,68,5.5079240798950195,3.8723816871643066,False,0.0002749070117715746
97,10,unrelated,26,5.008732795715332,7.930325984954834,False,0.001914897933602333
106,11,unrelated,67,7.393679141998291,3.4640707969665527,False,3.0228079594962765e-07
115,12,unrelated,59,8.120262145996094,11.702248573303223,False,0.00016648277232889086
124,13,unrelated,206,4.982796669006348,9.060644149780273,False,0.006307440809905529
